event_date,drop,driver_type,geomagnetic_storm_level,Dst_nT,notes,primary_source,validation
2005-09-11,12.25,The event was triggered by a series of powerful flares from Active Region 10808 most notably the X17.0 flare on September 7 which launched a fast shock reaching Earth with a mean velocity exceeding 1100 km/s,G3,-139,This period featured severe magnetic storms during a cycle minimum; the activity triggered blackout of high-frequency communications potentially affecting emergency workers in the aftermath of Hurricane Katrina,https://angeo.copernicus.org/articles/27/1019/2009/,*
2005-08-24,7.16,This "extrastorm" was driven by a series of solar eruptions including a doublet of solar flares and associated Coronal Mass Ejections (CMEs) from a narrow longitudinal sector that remained active throughout the summer,G5/G4,-216,Stunning auroras were reported globally; becoming visible as far south as Spain and Arizona in the northern hemisphere,https://link.springer.com/article/10.1134/S0016793207010045,*
2005-05-15,11.45,The event was triggered by an X1.2 solar flare from Active Region 759 on May 13 which launched a halo Coronal Mass Ejection (CME) that impacted Earth roughly 33 hours later,G5,-263,The intense interaction significantly weakened Earth's magnetic shield temporarily allowing more cosmic rays to reach the ground than would be possible under normal magnetic conditions—a process that actually competes with the "sweeping" effect of the Forbush decrease,https://link.springer.com/article/10.1007/s11207-010-9602-8,*
2005-01-21,11.26,The event was caused by a very fast Interplanetary Coronal Mass Ejection (ICME) and shock wave that hit Earth’s magnetosphere at ~17:11 UT on January 21,G4,-101,The South Pole neutron monitor registered a count rate increase of 5600% (a factor of 56) in just 6 minutes—the largest ever recorded at that location,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2009JA014663,*
2005-01-18,6.19,A powerful X2.6 flare from the extremely active region AR 720 on January 15 launched a fast halo CME toward Earth,G3,-121,The interplanetary magnetic field (IMF) reached nearly 20 nT providing the magnetic "shield" that swept away galactic cosmic rays,https://link.springer.com/article/10.1134/S106287382571147X,*
2004-11-09,8.12,Active Region AR 10696 produced dozens of flares and multiple halo CMEs. The specific storm on November 9 was driven by the arrival of a CME associated with an X2.0 flare observed on November 7,G5,-383,The storm caused the auroral oval to expand down to 55° latitude and destroyed the tertiary ozone layer at roughly 77 km altitude in the northern hemisphere,https://www.sciencedirect.com/science/article/abs/pii/S1364682609000352?via%3Dihub,*
2004-11-07,8.11,Active Region AR 10696 produced a series of powerful eruptions. Three sudden commencement (SC) pulses were recorded on November 7 as shocks from multiple Coronal Mass Ejections (CMEs) impacted the magnetosphere,G5,-373,The November 7 2004 event marked the beginning of a sequence of "superstorms" during the declining phase of Solar Cycle 23 characterized by a significant Forbush decrease (FD) that reached its deepest point over several days,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2006SW000281,*
2004-07-26,13.48,This event was caused by a full-halo Coronal Mass Ejection (CME) associated with a series of active solar regions crossing the Sun,G4,-200,The geomagnetic storm of July 26–27 2004 triggered a severe Forbush decrease (FD) recognized as one of the largest and most well-documented cosmic ray modulation events of its decade,https://www.sciencedirect.com/science/article/abs/pii/S136468262300144X?via%3Dihub,*
2004-01-22,8.71,The event was triggered by a fast-moving CME associated with an M6.1 solar flare that erupted from Active Region 540 on January 20,G3,-149, The storm reached a G3 (Strong) level on the NOAA Space Weather Scales with a maximum Kp index of 7,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2007JA012321,*
2003-11-20,6.58,An M3.9 solar flare from Active Region 501 launched an exceptionally fast CME with an estimated speed of 2850 km/s,G5,-422,The NMDB network showed a deep sharp profile caused by the extreme compression of the magnetosphere and the intense magnetic field of the passing ejecta,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2004GL021639,*
2003-10-30,8.67,Active Region 10484 produced a "cannibal" CME from the X17.2 flare (the second largest of that cycle) which overtook previous eruptions,G5,-383,The October 29–30 2003 Forbush decrease was one of the most violent and deep cosmic ray modulations ever recorded occurring during the peak of the legendary "Halloween Storms.",https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2004SW000123,*
2003-10-29,26.06,An X17.2 solar flare (one of the largest in history) erupted from Active Region 10484 on October 28 launching the primary CME responsible for the October 29 impact,G5,-383,The October 29 2003 Forbush decrease was the opening phase of a historic "double-drop" event during the Halloween Storms representing one of the most significant cosmic ray modulations of the space age,https://en.wikipedia.org/wiki/2003_Halloween_solar_storms,*
2003-05-29,6.45,Active Region AR 10365 was exceptionally volatile producing multiple solar flares and at least three halo CMEs on May 27 and 28 that merged or interacted before hitting Earth,G4,-144,The decrease was triggered by the arrival of two interplanetary shocks at the L1 point on May 29. The first arrived shortly before noon UT and the second hit around 18:30 UT each causing a successive dip in cosmic ray counts,https://hal.archives-ouvertes.fr/hal-00155784,*
2002-11-16,7.3,The event was triggered by a fast-moving halo CME associated with an M1.0 solar flare from Active Region 10191 on November 14,G3,-106,This was a typical "step-like" decrease. An initial minor decline began on November 15 followed by a sharper primary drop on November 16 as the core of the Interplanetary Coronal Mass Ejection (ICME) engulfed the Earth,https://iopscience.iop.org/article/10.1086/590655,*
2002-05-23,6.93,This event was triggered by a fast halo Coronal Mass Ejection (CME) associated with an M5.0 solar flare from Active Region 9948 on May 22,G3,-109,Researchers noted significant north-south anisotropy during the onset meaning the decrease was felt differently at polar stations depending on their orientation relative to the ecliptic plane.,https://iopscience.iop.org/article/10.3847/1538-4357/ac5896,*
2002-04-17,6.56,The disturbance was linked to an M2.3 solar flare and a halo Coronal Mass Ejection (CME) observed by SOHO/LASCO on April 17 interacting with earlier eruptions from April 15,G3,-126, The storm caused extreme plasma heating (up to 3000 K) in the F-region and a deep decrease in electron density at middle and high latitudes,https://arxiv.org/pdf/1009.3650,*
2001-12-30,7.3,The period was remarkably calm. The Dst index remained between -28 nT and -43 nT. In space weather terms a Dst above -50 nT is typically considered a "weak" or "quiet" condition,G1,-43,The December 30–31 2001 event featured a unique Forbush decrease (FD) that occurred during a geomagnetically quiet period making it a rare example of a "recurrent" or "quiet-time" cosmic ray modulation,https://doi.org/10.1029/2023EA002954,*
2001-11-24,9.25,The event was triggered by a fast halo Coronal Mass Ejection (CME) from Active Region 9704 which erupted alongside an M9.9 solar flare on November 22. The CME traveled at approximately 1437 km/s,G5,-221,The November 24 2001 event featured a distinct Forbush decrease (FD) driven by one of the final extreme geomagnetic storms of the Solar Cycle 23 peak,https://pdfs.semanticscholar.org/60ca/9feed8d5aee54f856139caa554dab62a206c.pdf,*
2001-11-06,12.52,An X1.0 solar flare erupted from sunspot region AR 9684 on November 4 launching a powerful halo Coronal Mass Ejection (CME) with a speed of roughly 1810 km/s,G4,-292, Vibrant red and green auroras were visible as far south as Florida Texas and California in the United States as well as across Central Europe,https://doi.org/10.1029/2023EA002954,*
2001-10-21,6.94,On October 19 giant sunspot AR9661 erupted twice producing two identical X1.6-class solar flares. Each flare launched a halo CME toward Earth with speeds exceeding 700 km/s,G5,-412,The flares caused a significant R3 (Strong) radio blackout on the sunlit side of the Earth and affected HF communications across the Pacific,https://doi.org/10.1142/S0217751X05029800,*
2001-10-11,6.46,The event was triggered by a minor Coronal Mass Ejection (CME) or a high-speed solar wind stream associated with the active solar regions present on the disk at the time (Regions 09653 and 09658),G4,-46,The October 11 2001 event featured a minor Forbush decrease (FD) following a period of moderate solar and geomagnetic activity during the peak of Solar Cycle 23.,https://doi.org/10.1029/2020JA028941,*
2001-09-25,8.13,A massive solar flare erupted on September 24 2001 (at 10:40 UTC) which was pointed almost directly toward Earth. This flare launched a fast-moving halo CME with ionized gas clouds that reached Earth within 24 hours.,G4,-102,The storm caused vibrant auroras at lower latitudes and significantly interfered with high-frequency (HF) wireless communications,https://arxiv.org/pdf/2112.09918,*
2001-04-28,7.74,The event was triggered by a fast-moving halo CME that erupted from a complex active region on the Sun,G4,-130, The dynamic pressure of the solar wind increased by a factor of 10,https://doi.org/10.1088/1674-4527/20/3/36,*
2001-04-11,12.71,The event originated from Active Region 9415 which unleashed a powerful X2.3 solar flare on April 10. This flare produced one of the fastest halo CMEs of Solar Cycle 23 with a linear speed of 2411 km/s.,G4,-271, The arrival of the shock caused a Storm Sudden Commencement (SSC) at roughly 13:43 UT about 30 minutes after the initial shock was recorded at the L1 point.,https://pdfs.semanticscholar.org/60ca/9feed8d5aee54f856139caa554dab62a206c.pdf,*
2001-04-08,6.68,The event was linked to the arrival of an interplanetary shock driven by a halo Coronal Mass Ejection (CME). This occurred just days after the sun unleashed the largest solar flare ever recorded (an X20-class on April 2),G3,-100,The storm generated high-velocity particles causing R4 (Severe) radio blackouts on the sunlit side of the Earth earlier in the week with secondary effects continuing through the April 8 window,https://pos.sissa.it/358/045/pdf,*
